"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
3.48184289024677,8.80095829586289,7.8064641025759,2.92393218581502e-09,5.44846745911142e-05,10.8247076128544,"SIMC1P1"
2.44851990759565,8.80137440475901,7.61814657868171,5.10203901031128e-09,5.44846745911142e-05,10.3244277543077,"ZFP36L1"
2.75291845718441,6.47106801056209,6.91742086178583,4.17384913016618e-08,0.000260811496224693,8.42447753427945,"ID3"
3.68447371665831,8.05023695362117,6.7995856898594,5.96785466239431e-08,0.000260811496224693,8.09968055484797,"FOXC1"
4.06880729343248,9.52057506428106,6.74792802179856,6.98281876865543e-08,0.000260811496224693,7.95687233455057,"NEAT1"
1.97863525820608,8.23931756493183,6.7004415683905,8.06875268702838e-08,0.000260811496224693,7.82537850124544,"ARHGEF40"
2.75223382026809,8.43688851931119,6.66961159637957,8.86335201595875e-08,0.000260811496224693,7.73989947906409,"EZR"
3.462789717626,11.6620470586753,6.63769474481225,9.76913554545157e-08,0.000260811496224693,7.65131924509406,"GFAP"
2.08395073960244,10.0852378655079,6.3512304725821,2.34589758241403e-07,0.000532609075788974,6.85261104258274,"NACC2"
2.44797090325306,11.2397178303508,6.33130050513292,2.4937216770717e-07,0.000532609075788974,6.79681945263613,"PTN"
1.7497185762662,8.89840481039357,6.22679610017982,3.43662866010038e-07,0.000667268317476582,6.50385636538929,"C4A"
2.07229686340419,6.86302079993381,6.13525857802258,4.55291933052612e-07,0.000810343758844807,6.24671819961543,"HVCN1"
1.93620350268019,8.39665026348192,6.08788277807248,5.26698822212936e-07,0.000865325649601838,6.11346217776588,"COL27A1"
1.67523720881246,8.30914460256209,6.03208868493235,6.2533830250047e-07,0.000953998247486074,5.95639141504467,"PXDC1"
2.39686602607319,9.09544244715274,5.95901998719937,7.83073600435044e-07,0.00111499239720611,5.75048917411418,"AJAP1"
1.55925644727666,9.02751438666557,5.936624545229,8.38984273656725e-07,0.00111993913229752,5.68733950662559,"ITGB5"
2.599136295013,7.93662509171493,5.90218760224357,9.32861206812434e-07,0.00117200292088823,5.59020190052335,"CACNB2"
1.25080684510251,9.03976733573353,5.81014841296408,1.23870199473687e-06,0.00143030732912944,5.33040757675776,"ZNF37A"
2.27923097366218,9.47877118088733,5.80143892701497,1.27239625683394e-06,0.00143030732912944,5.30581227937958,"ACACB"
1.82265176960512,8.92952365148507,5.75743295860934,1.45719407820472e-06,0.00155613755611482,5.18151570775449,"VIM"
1.84093023663027,10.4512456382323,5.74080556547843,1.53381044955276e-06,0.00155995826578799,5.13454113627772,"ZBTB20"
1.9110492473721,9.5753386831881,5.70599884237369,1.70749107004014e-06,0.00165766337608715,5.03619278163742,"VCAN"
1.23536906514141,7.62062144168924,5.62311312394902,2.20441612059197e-06,0.00204703997841754,4.80193517909982,"EHMT1"
1.83353193068617,10.3011740673479,5.60454070538559,2.33425875148892e-06,0.00207729576726252,4.74943724346406,"SOX2"
1.59104891062271,8.0098047786153,5.55976814195975,2.6795517463925e-06,0.00221416597725952,4.62287649372945,"TAF3"
2.50213823814074,10.3582148489804,5.55785431979227,2.69539823058093e-06,0.00221416597725952,4.61746657877579,"PMP2"
1.86280039480602,5.37234906399026,5.53702032118277,2.87407758222744e-06,0.00224331140856424,4.55857431308757,"EHD2"
1.74949134901232,8.24504373150482,5.51914709990432,3.03675911187636e-06,0.00224331140856424,4.5080525213352,"ITPKB"
2.39697960350523,5.17838817206701,5.5181629142489,3.04597953218293e-06,0.00224331140856424,4.50527059142679,"ACVRL1"
