"","GSM119615","GSM119616","GSM119617","GSM119618","GSM119619","GSM119620","GSM119621","GSM119622","GSM119623","GSM119624","GSM119625","GSM119626","GSM119627","GSM119628","GSM119629","GSM119630","GSM119631","GSM119632","GSM119633","GSM119634","GSM119635","GSM119636","GSM119637","GSM119638","GSM119639","GSM119640","GSM119641","GSM119642","GSM119643","GSM119644","GSM119645","GSM119646","GSM119647","GSM119648","GSM119649","GSM119650","GSM119651","GSM119652","GSM119666","GSM119667","GSM119668","GSM119669","GSM119670","GSM119671","GSM119672","GSM119673","GSM119674","GSM119675","GSM119676","GSM119677","GSM119678","GSM119679","GSM119680","GSM119681","GSM119682","GSM119683","GSM119684","GSM119685","GSM119686","GSM119687","GSM119688","GSM238763","GSM238790","GSM238791","GSM238792","GSM238793","GSM238794","GSM238795","GSM238798","GSM238827","GSM238834","GSM238835","GSM238837","GSM238838","GSM238839","GSM238840","GSM238841","GSM238842","GSM238843","GSM238844","GSM238845","GSM238846","GSM238847","GSM238848","GSM238851","GSM238854","GSM238855","GSM238856","GSM238857","GSM238858","GSM238860","GSM238861","GSM238862","GSM238863","GSM238864","GSM238872","GSM238873","GSM238874","GSM238875","GSM238877","GSM238941","GSM238942","GSM238943","GSM238945","GSM238948"
"XIST",-0.742787444223156,-1.05548476612647,-0.1158338735816,0.962940532350685,-1.04403405598303,-0.881778586108394,-0.837334372832377,-0.81415057752322,-0.767267869476339,0.872264009844071,1.21540743270824,-0.982896067896616,-0.765466501321029,-1.00712012497129,-0.699305297550069,-0.958265675913442,1.15540917423274,-0.519423331153112,-0.695729411353424,-0.840350347728349,-0.969758966397919,-0.997217476448784,0.926516717684012,1.04380005939713,-0.198000868127058,-0.0016685836414313,-0.338796574519237,-0.804559610393091,1.26966156868327,-1.02401865316848,-0.763786833566474,-0.482040202422503,0.188458062522018,1.19605811705031,1.42615735091522,1.19170067135915,-0.716723242634047,0.746979595155592,0.802070124462295,-0.816961507228845,-1.03404765620798,-0.247032682815024,-0.935268212351543,0.134815235328069,1.2387493500763,1.22760258748796,1.3049121287171,-0.937632105182782,-0.956761366078177,-0.842759686992148,-0.936899479130719,-0.975692188031412,-1.09496838861507,-0.964418422000939,-0.308011217584257,-0.777938076328187,1.32564183571473,1.47042726745275,1.43975789634614,-0.454218044989019,-0.971495791757942,1.20680915803424,1.36818308356666,1.50250593677769,-0.888308298720498,1.47042726745275,1.33261336506144,1.22760258748796,-0.974771727938396,-0.175145885431868,-0.913021891950253,-1.03104778812533,-0.815181535528702,1.1483269054724,1.28381297311753,-0.491004488139217,-0.978446367510545,1.41379363669368,-0.730412748356211,-0.915613633282583,-0.32430561167805,-0.972963983816001,-0.236060513041846,-0.0573650078606963,1.50250593677769,-1.08221106869488,1.25827798957534,1.37745029231764,1.24061100866969,1.30766898436538,1.4084467670708,1.42615735091522,-0.68268092725509,-1.07346767703885,1.3359921623132,1.43975789634614,-1.07640491606244,-0.679325880942236,-0.755482454756331,-1.00837015528457,-0.39149833299556,1.53878967131789,-0.209808531801436,1.47042726745275,-0.658686391707305
"C1QTNF4",0.47139137110975,0.990048774815247,-0.781531029842862,-0.423529857889875,0.737560176225827,0.994772479618363,-0.836620671573527,1.80816409399586,1.3434489488956,1.61854791501134,1.43607164531056,1.95916725413405,1.36427812421163,0.551910472542551,0.359399848478838,0.174778099913454,-0.853796299752552,1.15778663335987,0.111610332808677,-1.46936988083926,0.991594574735712,0.711995366999503,0.593166284191237,-0.991051331360332,0.505931635195516,0.229129129028363,0.565042492315312,0.916402156356588,-0.299679868473266,1.20293127218892,-0.44184083263638,1.25037651044295,1.04028594390401,-0.0480585226237679,1.00235617504719,0.966039386387404,0.762832353711825,0.873324284933044,-0.743065652204975,0.503352629461195,-0.208838497104823,0.314680882133573,0.812766529105894,0.617815289379262,0.619753417324971,0.990550929968047,0.806655456437505,0.612429513334597,-2.04461756017589,0.599466903781534,0.559384645630713,0.91765736463421,-1.00465324906485,-0.00514634283692532,0.932491849294281,0.762166114035358,0.420678079411797,0.891882003418393,0.67578717622021,0.625197445022633,0.783036649527682,-1.69187895887458,0.587675709286875,-2.23683089677428,-1.0832461570305,-1.36370412863699,-1.72811389728161,-1.15424441328856,-1.94781265236221,-1.78641090581707,-1.67370941608375,0.16779336988965,-1.86649984517677,-0.0676404786613911,-0.424797379408946,-1.5274259708957,-0.957887129430165,0.306034591554883,-0.249784563871665,-0.933369845532568,0.808982867431357,-1.04524790619852,0.272183084782479,0.019396068310065,-0.279548383837421,-0.86437941164149,-1.85673067506912,-0.734464443086416,0.468053671216749,-1.65382537967899,-0.435915878922962,-1.03806249070624,-0.743065652204975,0.643727307777974,0.2154280429429,0.1448959378808,-0.969412621297115,-0.00588678100171551,0.532079755769124,0.255934611070484,-1.11173664859185,0.732608936604488,-1.67428776896148,0.21737952844006,-1.25054982024473
"ACTL6B",0.25520355506433,1.1366275188089,-0.838806424256525,0.900389364365858,0.271136002705846,1.61078856906458,-1.2322935956453,1.78787503580675,1.37675381709776,1.72601883172337,1.09685749898886,1.67054105051062,1.08704512941253,0.495716652599965,0.364146489928537,0.33747313945368,0.556908806069791,0.444282181725379,0.512564066921517,-0.375399868009375,0.302498113773817,0.316494306474984,0.487491794438464,-0.219265642299031,0.302144835251469,0.272231310992554,0.544089816642503,0.465191217387327,0.195325925682018,0.629285931698812,0.460223689183915,0.718321785453326,1.03415190933515,0.564467583957874,0.425552202543848,0.396096172608941,0.711272502468378,0.57899565589454,-2.22677994852798,0.313452469212253,-1.61554446213758,0.707300166490908,0.135357484754153,0.724571494182591,0.452864982631833,0.45424958828547,0.386937524665289,0.562419957799915,-1.81072151356786,0.0149379793074385,0.684149453107062,0.453884057946414,-0.142794606552769,-0.763085789377065,0.241499156438994,0.00267033978728133,-0.0167188526168114,0.156475967823716,0.0275039844798978,0.247704532105847,0.351723152773338,-1.98246206139929,0.33218150906797,-2.62582483706814,-2.05407337271212,-2.01925172051606,-1.80904469075569,-1.84677339058514,-2.01471777769202,0.251444087308972,0.220211015150396,0.405133734425714,-1.87314621266827,0.177961669516897,0.301921393409858,0.0594311445395419,0.414355259855053,0.661028461780436,-0.34512484849832,0.0451735131866032,-0.112230833336565,0.0582878959916205,0.213945056135104,-0.35870311813441,-2.01308963708248,0.108373277543901,-2.95247969985128,-0.0277712719817192,0.32222355270734,-0.116564024234651,0.248409450403835,0.189086512314861,0.0380047054353872,0.618260883288672,0.160967914418157,0.253581931293611,-0.269613666775512,0.386820504003317,0.305710693776564,0.190306796565493,-2.66767630858209,0.426759197678914,-2.59611227765381,0.572815123493158,0.0118104133981344
"GABRD",-0.111758621706303,0.561622309205013,-1.89265162654937,-1.91403190171768,0.479151386519756,1.16179607537383,-0.0915530587185026,1.30949952275527,0.535289039798916,1.05702114697416,0.573363805829546,1.11759437065495,0.896346967796342,-1.46575542506749,0.629229828871521,0.42916871456778,-1.79403992670209,0.515382510283552,0.973072016731221,-0.982305301363591,0.299524525495306,0.367955508295393,-0.343293525377208,-1.05478364438881,-1.13620519979699,-1.79747818651842,0.834324471062977,1.11948421447419,0.320585036534236,1.14813011782712,-0.491142192627176,1.4473585430619,0.971468305269641,0.864762481310076,0.419228870625961,1.15245767181681,0.829637335052116,0.590314103920021,-1.61818481117277,0.852625390295622,0.563988317216985,0.43811655356851,0.902539403718,0.627196924678782,0.525280711412035,0.624539561374266,0.27219981617818,0.864144347742706,-0.782645950113842,0.502022535518518,0.684665958020542,0.888417050443268,0.77111477197628,-0.480616322757375,1.03651959812897,0.369428498760968,0.892128018863259,0.377181343748725,0.904519274011629,0.563323881738197,1.27986327103403,-2.15520245144073,0.168395990285468,-1.78804120431232,-2.15288095475816,-2.13792757570939,-1.85889339929341,-1.64962601438352,-1.91694333704485,-1.36659084955131,0.312630640617486,-0.815265472746839,-1.67202885534485,-0.973080315366186,-0.511310685613569,0.309614629986482,0.368727056464226,0.492708189208484,0.290591649935869,0.0422926587139892,0.512943189671884,-1.79153208958919,0.306457652430684,0.224062637278295,-0.207701660337443,0.261158935340723,-2.20309360706478,-0.192870701953121,0.531410117939836,-0.039641852962234,0.487449572259897,-0.284355467087527,0.205290348398738,0.464075848179762,-0.000851688082064745,0.434556947962036,-0.339683325681953,0.267459269011606,0.736222474275491,0.512223339502717,-2.06934211051796,0.675375041301748,-0.829213834797808,0.816945543478095,-0.0516526925638161
"CAMK1G",0.370617429615813,0.656044859801633,-0.67972570130357,0.606656209427538,0.703429226100415,0.844432993766464,-0.391714044225411,1.66647982815497,1.00205460291361,1.44103631572028,1.19560473874051,0.774162976122671,1.22298015163821,0.69203886944101,0.348658124564448,-2.27956532505271,0.908662517543391,0.431270166708326,0.488054597895349,0.0212331556828185,0.503455776126071,0.488983319512559,0.698063401181162,0.698762104975899,0.509143175116661,0.729211727244703,0.495389140676856,0.460923062757814,0.741249928354528,0.689994896866443,1.01548884867613,1.25071268418288,0.824858861717804,0.669048020502075,0.571328777845522,1.13219791561735,0.442310200238134,0.77251361113509,-2.00615515917188,0.924252056408703,-0.473449427242851,1.12004216868165,0.791580280539185,0.783721582608463,0.778254691276496,0.705454218406989,1.07009018968953,0.638221076236969,-1.64535864213777,0.170424359414816,0.421789318377001,0.784566569882568,-1.42762944888605,-1.2944650926011,0.248335270801736,0.653730528911998,0.14769503499436,0.532305346997596,0.282361707590549,-1.69051565641072,0.367729374616433,-1.60426021427078,0.48769753255716,-1.97470535307879,-1.4824003246387,-2.30259785314661,-2.0338698840623,-1.83856750529966,-1.81889192509245,-0.660429977377726,-1.59971811408378,0.458214607493155,-1.44545425560691,-1.62259423673563,-0.102900896513793,-0.0789880195344059,-0.915110186347652,0.546476455792231,-0.0105954800738917,-1.72548880449373,0.545470144846305,0.327452444407503,0.594508371182803,0.0140691589463545,-0.494270031335107,0.33068676652688,-1.92842454183976,0.0435927311719737,0.782873447781106,-1.4350861843018,0.644415084682093,0.0572782880953992,0.140025871631066,0.69194647116916,0.453725152363486,0.103595793175313,-0.0442399291085024,-0.116043377218622,-0.159216937096831,0.112795801601461,-1.43789625080442,0.0287038733315498,-1.39372687856606,-1.50588082963065,-1.23119750146471
"NEAT1",0.025705622925476,-0.797187354204017,-0.414758754242427,-0.871761324971663,-0.613102075203612,-0.477008824585743,-0.677693964998804,-1.12060376379796,-0.785351315494918,-0.88996183721662,-0.792691477585022,-0.475607165887684,-1.24926424467139,-0.741017921084036,-0.854575636569431,0.245939202924445,-0.454561089516748,-1.32789385478452,0.406980790413829,-0.476937421521953,-1.07124440129296,-0.759400016732477,-1.04437829754253,-0.475737553367024,-0.48042029919851,-0.631993224591156,-0.439325116110122,-1.46679260070173,-0.668586530588452,-1.30705585638285,-0.315050990612989,-1.2605698173076,-2.90496603289688,-1.17463463528746,-0.670634544171692,-0.789033226927324,-0.575848202329809,-1.10858719476969,-2.7459676197542,-0.793037713884489,0.637255473702679,-0.575336784389613,-1.00874421756457,-0.289697088712384,-0.935586413179465,-0.609547305363863,-0.638803333656007,-0.329149115443516,-1.58579623236592,0.347199234733565,-0.0153598534963121,-0.727105782118418,1.16570167221056,0.58723483852077,-0.463620373084428,-0.557718097687559,-0.479126785203455,0.165450761218548,0.0557644770234263,1.32766639760902,-0.85166211937029,1.56985304326056,-0.133832725689672,1.02641549006037,0.896532402080112,1.70605779571171,1.50739282210164,0.049284304545754,1.68383716991603,1.21605386975244,1.75290447433479,-0.235037276400458,1.01127268351788,0.531452722615245,1.4875539542292,0.968089839944685,0.491449159517549,0.535989399817343,0.705715168855085,1.25432970394213,-0.10182348955339,1.63791518256355,-0.374917350883716,1.31797308001024,0.72594400395134,-0.115534059047218,1.52445310922858,1.47055721631861,0.476291365566595,1.03351072733275,0.470328120965329,1.66048695107448,1.52445310922858,0.643491920029355,1.04613812798365,0.46020339481299,0.997415613477786,0.0417006339132468,1.42659834857678,-0.0699400446896266,1.79901421031072,0.107656953440621,0.0863987026349988,0.723502438368067,1.26846466341308
"PRR36",0.307935607575828,1.82965969039105,2.09011772525649,2.20352106447654,0.282883419008799,2.64953713795846,2.32942404730914,1.9708073733472,1.99313048617267,2.19168361847942,1.16715521549461,2.62672213577957,2.09515353807028,0.00917088640945564,0.237251658533393,-0.149798888317267,-0.113086733690761,0.13836139597178,0.022084052968557,-0.330383933414726,-0.490283683942492,-0.171286719049966,-0.356598891160269,0.327806218910041,0.37822291190811,-0.167793071892121,-0.494749379033792,0.108367067568186,-0.678372731219797,-0.117230490162506,0.345822048393917,0.449743090839696,0.0501348769854852,-1.38986467672862,-0.265487930319313,0.61127297214259,0.669813778695787,-0.071055250865801,-2.10329359866843,0.161191372220764,-0.901103240908522,0.864655718790352,0.0948542420360876,0.233271572633909,-0.316457508784327,-0.0620493581898794,0.442081962164656,0.56224055022671,-2.10504694522408,-1.34429267844226,0.16310787804151,-0.313827888011448,-1.4701512316751,-0.1901920913304,-0.179029477587875,-0.134435386090521,-1.86058507126181,0.00397484200739243,-0.253159280548148,0.630203016682529,-0.162712529986227,-0.742766759498997,-1.16196098907711,-0.201879633423424,-0.037953296986569,0.0957688432125507,0.49500116682722,-1.33544308231693,-0.280220957918327,0.267888510625375,-0.071055250865801,0.243768130105175,-1.36830973424931,-0.903390622111022,0.35521652620376,-0.535426777757666,-0.939401938350558,0.339629624154274,-1.46997709616571,-1.57066807343172,0.0593377979053307,-0.530648899400389,0.342683530002422,-1.11003918350932,-1.62568012876605,-0.719371095143122,-1.81899190325089,0.0221516504473652,0.259051148256407,0.573783074074716,0.0383976808669474,0.702570292749275,-0.145870192736325,-0.269322868266839,0.0981973116190418,-0.400430222817455,0.0578414536536667,0.744586595956304,0.382892089780212,0.327115975491604,-2.32576789615049,0.458752790630887,-0.771014185356999,0.501479945404746,-0.0795578573606661
"DDX3Y",0.796724714040984,0.546041456449996,0.439026883911757,0.171363202661043,0.777015687642828,0.513631696821762,0.2002774943758,0.391106000597019,0.478689922472307,-1.74467182138613,-0.68935640280711,0.138556372523062,0.354187165016949,0.591551286267666,0.642974791687586,0.823700204505956,-0.862202189759503,0.734015489275126,0.690374627669555,0.281655895749707,0.629310742404073,0.666905973902785,-1.49171946901142,-0.503623256346336,0.641063566234413,0.453084616079016,0.500281372911688,0.420939848828838,-1.50603376074537,0.549319558915349,0.531137271666443,-0.0106386971045133,0.257655497840046,-1.37056707353871,-1.52536155548594,-1.68716857386142,0.512085304569508,0.462883895926641,-0.444918707102036,0.80562809879863,0.709940459125084,0.661189551241649,0.831155210887736,0.965694909982824,-1.76691446826188,-1.4798203752719,-1.0749215531255,0.745805905381965,-0.605302154436046,0.923101293302898,0.912033900170357,0.872916412657073,0.757780564407636,0.725228611481191,0.907150562123022,0.902045319074327,-1.00977015928062,-1.37069981477538,-1.02247971364185,0.764529313574561,0.840077016886369,-1.67328131118872,-0.576616221649605,-1.70380517386448,0.6136226839319,-1.56931801026598,-1.77370069609982,-1.86679457336802,0.862120485801986,0.787133594499649,0.956517302979557,0.852013118436482,0.79024841596387,-1.64025934819024,-0.829328114061789,0.863670043638925,0.716875029720096,-0.789467612899777,0.913523926642079,0.826557583307352,0.93493955502166,1.23703469589414,0.929657892306224,0.866600822129152,-0.736798345837854,0.715419154500039,-1.59088563561687,-1.61153626133364,-1.18429426852573,-1.67747971570406,-0.936821046989894,-1.64827315404686,1.027226384058,1.01804546025591,-1.17207763509782,-1.55261155208864,0.915381289903107,0.70295067134009,1.04650394733582,0.971414539232906,0.825937556202231,-1.11734676460272,0.59198321473566,-1.5395333406871,0.871183490181187
"SMYD5",-0.510582602622403,1.30043602619632,1.38772743348767,1.73326153300323,0.322125556387785,1.7231994859344,1.46600187361896,1.57931648686624,1.23431271685156,2.03349141083907,0.953639344937297,2.44296686331483,1.81941465819428,0.34682208721911,0.625192774047041,-0.412224334963921,0.16094239358386,0.253342953852224,0.472271149560012,-0.0285651569796097,0.490061829876273,0.487069027335506,-0.0375740738222218,-0.410212806842631,-1.70447424943949,-0.222395257413847,0.57225620660661,1.09162572208278,-1.4997536751158,0.913366201201664,1.50312268993831,0.88218026153608,0.771116554709032,0.886658673878454,0.277411036765694,1.16226277161347,0.271250617032168,0.653235281323304,-1.87714364569794,0.119200920780423,0.407539796032126,0.290064556067905,0.334546152889086,0.358105900012469,0.403913512721042,0.358353731873643,0.301731856836318,-0.478610174536328,-1.10275102385219,-0.292698231255087,0.209504590395179,0.23278294452253,0.17632905356104,-0.00572468663060685,-0.140698092218187,0.51115116738878,0.138422892107881,0.0976934699288795,0.0280726388187772,0.457913717386428,-0.0843057218472745,-2.02008751260959,-0.0330892603509375,-1.93685396396622,-0.688712758105712,-1.14746864176205,-1.80546257800156,-1.34955041291296,-2.50342882333393,-1.5555449943727,-2.19088940811702,-0.0706164686956264,-1.83821492201976,-1.32017862733062,-1.07413856848608,-0.876709464013493,-2.20134490750357,-0.0409235158993557,-1.32633300594109,-0.578783496166643,0.14044979296934,0.0849854996504893,0.207645179216705,-1.65137517416568,-0.184578660607227,-0.387759763711699,-0.00809795071710443,-1.71659284752814,0.493737200225606,0.443954095660732,-0.0365699417064846,-0.0676310435774656,0.176024940509323,0.851253544048587,0.0975505703273085,-0.139672881673546,0.409052375208192,0.608404517118046,-0.426352334210139,0.167863127827109,-0.125215433159612,-0.406570286019595,0.955494358273781,0.103496284637211,-0.464858628885057
"G6PD",-1.06675536431244,1.14807756361702,1.67219593298165,1.90977617164199,0.231789540217978,2.1785288859797,1.88757276708544,1.65121645052585,1.69319894444142,2.1615590750763,1.18958267980229,2.84555992406921,1.89334900456058,-0.30296692124711,0.722699562620093,-1.47978159878779,0.692361688634602,0.198721605509968,-0.945890923603431,-0.918050348673918,-0.351700381281988,-0.58981711733184,0.0841394526475909,-2.10812041549056,-0.0119531764345013,-0.857665897586249,0.200093614948455,-0.505407452726752,-1.70056164364078,-0.702501070412364,0.881310668639173,0.437242956707412,0.396064154893986,-1.72143232546578,-0.769995363214961,0.779365029475139,0.105255999442093,-1.80755958311201,-1.31708516076595,-0.278405516725705,-1.0550693313374,1.01063802484227,0.000911642538287101,-1.84003943965996,0.3773142888347,0.47259106493708,0.528232633850006,0.233608398600196,-1.41834895759778,-0.211447973504363,0.237723141523336,-0.0482116559068677,0.168329973402688,0.184429436794543,-0.234378511051563,0.0406677721727544,0.302653908492871,0.129974371539888,0.292540670102919,-1.55368322871299,0.165329837259965,-1.99206800821213,-0.512433517352066,-0.0229195496429776,-1.48818447399137,-0.89142004556138,-1.73254677673071,-0.475844278944089,-0.0544580758689004,-1.09916316477333,-0.0542287244386847,0.397975075330655,-1.62244612943132,-0.836619885513024,-1.37304563582899,0.674332244856427,0.412446451292019,0.635684763084424,0.414440373665373,0.212504916600258,0.488381182880133,-0.986712966254511,0.51015567854813,0.9683858732302,0.399731019974619,0.485539259065653,-0.114634193017164,-0.0714739970677007,0.48105367745618,0.824860074701934,0.919540120403351,0.0797978178715472,0.631887588223574,0.605293827575971,-0.445201562460796,-0.0970237680084503,0.178607938420061,0.156106582705129,-0.0738140311714982,0.322528028728048,-1.77415067676328,0.13664232209771,-0.0974168999661903,0.0250029115890781,0.547131152873717
