"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032535","regulation of cellular component size","24/750","354/16355",0.0677966101694915,1.47841807909605,1.99501604696107,0.0366055176792355,0.24764601241339,0.216187696355979,"EZR/FN1/KANK2/EPS8/SHANK3/KANK1/APOE/TRIOBP/SEMA3F/IFRD1/PREX1/PLS1/HIP1R/SPTA1/SLC12A7/ADD3/PIK3R2/DNM2/COL6A1/AQP4/KANK3/GPRC5B/TMSB15A/PRR16",24
"GO:0003014","renal system process","11/750","130/16355",0.0846153846153846,1.84517948717949,2.12099191649232,0.0366764440723086,0.247789634342183,0.216313074082151,"PCSK5/RHPN2/AGT/EDNRB/BCL2/MLLT6/AKR1C3/SLC25A23/ADORA2A/EMP2/AQP4",11
"GO:0061448","connective tissue development","20/750","283/16355",0.0706713780918728,1.54110718492344,2.01303950779529,0.0369959379580073,0.249609941351318,0.217902148645196,"COL27A1/ACVRL1/THRA/PBXIP1/NFIA/XBP1/ID4/FGFR3/SMAD1/MSX1/FOXD1/SOX9/ITGB8/SMAD5/NFIB/SOX5/BMP7/COL6A1/GLG1/CHI3L1",20
"GO:0009199","ribonucleoside triphosphate metabolic process","18/750","248/16355",0.0725806451612903,1.58274193548387,2.02724167224192,0.0370538963895254,0.249663145132667,0.217948593983908,"ZBTB20/NDUFA1/DDIT4/NME1/NME4/PPARA/KAT2B/SLC4A4/ATP5F1C/ATP1A2/STAT3/NDUFAB1/ENO3/AK4/ZBTB7A/COL6A1/RHOQ/UCKL1",18
"GO:0051497","negative regulation of stress fiber assembly","4/750","28/16355",0.142857142857143,3.1152380952381,2.45581597821567,0.0374432842467176,0.250209158558531,0.218425247670219,"RHPN2/ARHGEF18/F11R/PPFIA1",4
"GO:0060586","multicellular organismal-level iron ion homeostasis","4/750","28/16355",0.142857142857143,3.1152380952381,2.45581597821567,0.0374432842467176,0.250209158558531,0.218425247670219,"HEPH/EPAS1/CYBRD1/SLC40A1",4
"GO:0070168","negative regulation of biomineral tissue development","4/750","28/16355",0.142857142857143,3.1152380952381,2.45581597821567,0.0374432842467176,0.250209158558531,0.218425247670219,"SOX9/HEY2/SRGN/ASPN",4
"GO:0070723","response to cholesterol","4/750","28/16355",0.142857142857143,3.1152380952381,2.45581597821567,0.0374432842467176,0.250209158558531,0.218425247670219,"GRAMD1C/PTCH1/ABCA1/GPR155",4
"GO:0072207","metanephric epithelium development","4/750","28/16355",0.142857142857143,3.1152380952381,2.45581597821567,0.0374432842467176,0.250209158558531,0.218425247670219,"LAMB2/WWTR1/SOX9/YAP1",4
"GO:0001667","ameboidal-type cell migration","17/750","231/16355",0.0735930735930736,1.60481962481962,2.02958017276199,0.0374862096757366,0.250209158558531,0.218425247670219,"FN1/KANK2/SASH1/SMURF2/KANK1/EDNRB/SEMA3F/SOX9/CTSH/TNS1/GJA1/BMP7/SDC4/SEMA4G/SEMA4C/MAP4K4/PLEC",17
"GO:0031331","positive regulation of cellular catabolic process","17/750","231/16355",0.0735930735930736,1.60481962481962,2.02958017276199,0.0374862096757366,0.250209158558531,0.218425247670219,"ZBTB20/TRIM8/DTX3L/TP53INP1/XBP1/FOXO1/TFEB/APOE/BAG3/FYCO1/PPARA/KAT2B/SLC4A4/PLIN5/STK11/DCN/SH3BP4",17
"GO:0070167","regulation of biomineral tissue development","9/750","99/16355",0.0909090909090909,1.98242424242424,2.14941643129732,0.037826181441048,0.25214082976613,0.220111539908153,"PTN/CEBPB/SOX9/HEY2/GJA1/ADGRV1/BMP7/SRGN/ASPN",9
"GO:0031333","negative regulation of protein-containing complex assembly","12/750","147/16355",0.0816326530612245,1.78013605442177,2.08293177323649,0.03798994075223,0.252220831678587,0.220181379228357,"THRA/KANK2/EPS8/KANK1/TRIOBP/LAMP2/SOX9/HIP1R/SPTA1/ADD3/KANK3/TMSB15A",12
"GO:0034101","erythrocyte homeostasis","12/750","147/16355",0.0816326530612245,1.78013605442177,2.08293177323649,0.03798994075223,0.252220831678587,0.220181379228357,"ZFP36L1/THRA/TGFBR3/HIPK2/EPAS1/KMT2E/KLF2/SMAD5/STAT3/ZBTB7A/BCL6/ID2",12
"GO:0035051","cardiocyte differentiation","12/750","147/16355",0.0816326530612245,1.78013605442177,2.08293177323649,0.03798994075223,0.252220831678587,0.220181379228357,"GPER1/TGFBR3/TBX3/EGFR/RGS2/PPARA/AKAP13/HEY2/PDGFRA/BMP7/REST/PLEC",12
"GO:0072210","metanephric nephron development","5/750","41/16355",0.121951219512195,2.65934959349593,2.33217069850461,0.0383513001672057,0.254281359885223,0.221980159842379,"LAMB2/FOXD1/SOX9/PDGFRA/SALL1",5
"GO:0030833","regulation of actin filament polymerization","11/750","131/16355",0.083969465648855,1.8310941475827,2.09371538822619,0.0384552866497737,0.254632216780573,0.222286447608603,"KANK2/EPS8/KANK1/TRIOBP/PREX1/HIP1R/SPTA1/ADD3/PIK3R2/KANK3/TMSB15A",11
"GO:0045137","development of primary sexual characteristics","17/750","232/16355",0.0732758620689655,1.59790229885057,2.01076830312612,0.0388031507513965,0.25625497966419,0.223703071951237,"FOXC1/RHOBTB3/RAB13/CEBPB/SAFB2/NR2F2/CBL/SOX9/BCL2/GJA1/PDGFRA/AKR1C3/ADGRG1/ZFPM2/SALL1/YBX3/FLNA",17
"GO:0060560","developmental growth involved in morphogenesis","17/750","232/16355",0.0732758620689655,1.59790229885057,2.01076830312612,0.0388031507513965,0.25625497966419,0.223703071951237,"LZTS2/CXCR4/LHX2/SLC39A12/FN1/LAMB2/APOE/DDR1/SEMA3F/SOX9/IFRD1/KDM5B/YAP1/STK11/SALL1/DNM2/DVL1",17
"GO:0035176","social behavior","6/750","55/16355",0.109090909090909,2.37890909090909,2.24560785768538,0.0393030435261926,0.259212929922746,0.226285275662498,"NR2E1/SHANK3/CIC/SHANK1/NRXN2/DVL1",6
"GO:0009261","ribonucleotide catabolic process","11/750","132/16355",0.0833333333333333,1.81722222222222,2.0666755000238,0.0402934187242223,0.260301705136344,0.227235744450521,"ZBTB20/DDIT4/PPARA/KAT2B/SLC4A4/STAT3/NUDT18/ENO3/ZBTB7A/COL6A1/PDE4C",11
"GO:1903313","positive regulation of mRNA metabolic process","11/750","132/16355",0.0833333333333333,1.81722222222222,2.0666755000238,0.0402934187242223,0.260301705136344,0.227235744450521,"ZFP36L1/ZFP36L2/TNRC6C/TOB1/CELF3/FXR1/SAMD4A/QKI/TRA2A/PRDX6/CELF1",11
"GO:0007194","negative regulation of adenylate cyclase activity","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"PALM/EDNRB/ADGRV1",3
"GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"NME1/NME4/UCKL1",3
"GO:0034375","high-density lipoprotein particle remodeling","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"LCAT/APOE/APOC1",3
"GO:0038083","peptidyl-tyrosine autophosphorylation","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"EGFR/DDR1/CAV1",3
"GO:0043691","reverse cholesterol transport","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"LCAT/APOE/ABCA1",3
"GO:0050802","circadian sleep/wake cycle, sleep","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"FXR1/ADORA2A/CRH",3
"GO:0051152","positive regulation of smooth muscle cell differentiation","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"GPER1/NOTCH2/EFEMP2",3
"GO:0060221","retinal rod cell differentiation","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"SOX9/STAT3/NTRK2",3
"GO:0060644","mammary gland epithelial cell differentiation","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"PTCH1/CEBPB/ID2",3
"GO:0061548","ganglion development","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"SEMA3F/ASCL1/TULP3",3
"GO:0090308","regulation of DNA methylation-dependent heterochromatin formation","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"TASOR/MORC2/MPHOSPH8",3
"GO:1901334","lactone metabolic process","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"PON2/ATP1A2/SLC2A1",3
"GO:1901550","regulation of endothelial cell development","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"F11R/TNFRSF1A/CLDN5",3
"GO:1903140","regulation of establishment of endothelial barrier","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"F11R/TNFRSF1A/CLDN5",3
"GO:2000311","regulation of AMPA receptor activity","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"CNIH3/SHANK1/MINK1",3
