"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_PANCREAS_BETA_CELLS",0.313793103448276,0.392241379310345,0.096887770327544,-0.311084732214887,-1.0959533754283,40,"SST;STXBP1;ABCC8;SPCS1;PCSK1;PCSK2;NEUROG3;NKX6-1;SYT13;NEUROD1;INS;PKLR"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.224458204334365,0.294912754976653,0.11101149245045,-0.266558766432193,-1.15500127703257,113,"SLC1A4;SRPRA;ATP6V0D1;EXOSC10;SPCS1;KDELR3;IFIT1;EIF4EBP1;NOP56;GEMIN4;BANF1;EXOSC5;EXOSC1;SKIC3;SDAD1;TSPYL2;H2AX;NHP2;CNOT4;ZBTB17;ASNS;YIF1A;PDIA6;SLC30A5;YWHAZ;EXOSC4;CHAC1;TUBB2A;WFS1;PAIP1;DCTN1"
"HALLMARK_FATTY_ACID_METABOLISM",0.151840490797546,0.210889570552147,0.138022242496643,-0.262773433594462,-1.17430529085697,156,"REEP6;MIF;CEL;IDH3G;ALDOA;ECH1;EPHX1;LDHA;LTC4S;LGALS1;RAP1GDS1;CD36;ADSL;ALDH3A1;NSDHL;BPHL;IDH3B;MDH1;GSTZ1;UROS;ACADVL;APEX1;ACOT2;INMT;ACO2;GPD1;HMGCS1;ACOT8;SUCLA2;HPGD;AADAT;DHCR24;ECI1;EHHADH;ENO2;MIX23;ECHS1;CBR3;YWHAH;NCAPH2"
"HALLMARK_MTORC1_SIGNALING",0.132075471698113,0.188679245283019,0.144630528034484,-0.257249972922131,-1.1875048593642,200,"G6PD;CORO1A;TMEM97;ALDOA;GPI;TUBG1;LDHA;ATP5MC1;PSMC4;SLC1A4;FDXR;TPI1;MLLT11;GOT1;ENO1;TUBA4A;NUP205;TM7SF2;PGK1;SRD5A1;FKBP2;SORD;PSMD14;PGM1;ELOVL6;GAPDH;SQLE;ACACA;ABCF2;EBP;CDC25A;PSMD12;PHGDH;PSMA3;CTSC;HMGCS1;ASNS"
"HALLMARK_ADIPOGENESIS",0.0493468795355588,0.0822447992259313,0.245041785430996,-0.277894371637748,-1.28280253234343,200,"REEP6;ESYT1;NDUFB7;IDH3G;ALDOA;UQCRC1;DDT;BCKDHA;ECH1;DGAT1;DHRS7B;POR;SAMM50;LTC4S;CHCHD10;SDHB;GPX4;CYC1;GPX3;SLC25A10;CD36;UCP2;SNCG;NKIRAS1;UQCR11;PGM1;RTN3;COQ9;ELOVL6;GPHN;JAGN1;COX6A1;ACO2;UBC;UQCRQ;PEX14;CD151;PEMT;PHYH;UBQLN1"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0259670435645463,0.0480871177121229,0.352487857583619,-0.289782806742771,-1.33768135039378,200,"TMEM97;RBP4;DDT;ECH1;EPHX1;BLVRB;VTN;POR;ALAS1;DHPS;PC;SLC35B1;PSMB10;PTGDS;GSS;NINJ1;DCXR;CD36;HACL1;LCAT;ALDH3A1;ASL;PGD;ANGPTL3;BPHL;CYP2E1;MTHFD1;CYP27A1;CYFIP2;ARPP19;REG1A;ACO2;DDC;AKR1C2;GSTA3"
"HALLMARK_KRAS_SIGNALING_DN",0.0242214025311978,0.0465796202523035,0.352487857583619,-0.290325466844202,-1.34018635165816,200,"ALOX12B;RGS11;PDK2;GPR19;GAMT;ABCG4;MAST3;DTNB;SLC30A3;EPHA5;ADRA2C;CCDC106;KLHDC8A;RYR2;SIDT1;SCGB1A1;SLC25A23;ATP4A;COPZ2;CACNG1;NGB;FGGY;DLK2;STAG3;YBX2;MACROH2A2;KRT15;HTR1D;MSH5;TLX1;GPR3;LGALS7;CCNA1;INSL5;KCNE2;KCND1;NRIP2;SMPX;KCNQ2;TENM2;CDH16;ENTPD7;SNCB;ARHGDIG"
"HALLMARK_MYC_TARGETS_V1",0.0224757649183571,0.0449515298367142,0.352487857583619,-0.29280359418424,-1.35162576300188,200,"PSMD8;SNRPA;LDHA;MCM5;LSM7;PSMC4;IMPDH2;CAD;CDC20;MRPL9;TCP1;CYC1;TRIM28;PSMB2;TUFM;GOT2;RUVBL2;PGK1;NOP56;PSMB3;PRDX4;PSMD1;CCT7;PSMD14;CTPS1;NHP2;APEX1;PHB1;SRM;SF3B3;MRPL23;NOP16;PABPC4;MAD2L1;TOMM70;SRPK1;CDK4;YWHAE;UBE2L3;PRPS2;CCT2;SERBP1;PRDX3;CUL1;POLD2;VDAC1;MRPS18B;HPRT1;MCM4;SSBP1;C1QBP;EIF2S2;COX5A;RANBP1;U2AF1;TRA2B;COPS5"
"HALLMARK_GLYCOLYSIS",0.0155253244751242,0.0344781444534697,0.380730400722792,-0.297631843816564,-1.37391369499068,200,"G6PD;MIF;HDLBP;ALDOA;PKM;MET;PYGB;LDHA;NDUFV3;PSMC4;GFUS;PC;TPI1;DPYSL4;SRD5A3;GOT1;ENO1;SLC25A10;KDELR3;GALE;PAM;GOT2;PGK1;NSDHL;STMN1;PGLS;ANKZF1;PPFIA4;MDH1;GNPDA1;SPAG4;CITED2;ARPP19;AKR1A1;PFKP;GMPPA;NDST3;BPNT1;CHPF;HAX1;B4GALT7;GMPPB"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0158599464485961,0.0344781444534697,0.352487857583619,-0.424184298126384,-1.56487103774288,49,"G6PD;PRDX2;ATOX1;FES;NDUFB4;GPX4;GPX3;PRDX4;CDKN2D;PFKP;ABCC1;LSP1;SBNO2;LAMTOR5;HMOX2"
"HALLMARK_DNA_REPAIR",0.000167383758721348,0.000643783687389799,0.518848077743792,-0.389142293472974,-1.72846402077671,150,"VPS28;USP11;POLR2J;EDF1;IMPDH2;APRT;GTF2F1;GPX4;NELFE;POLR2I;CETN2;POLB;POLR2E;NPR2;POLL;BCAM;ZNF707;AK1;MPG;POLD1;SEC61A1;CANT1;CCNO;TAF10;SF3A3;NME3;BOLA2;ZWINT;RPA3;SAC3D1;VPS37B;POLR2C;PDE4B;POLR3C;MRPL40;SNAPC4;HPRT1;POLD4;NELFCD;POLH;DAD1;TAF12;AAAS;POLR2F"
"HALLMARK_MYC_TARGETS_V2",0.000411537210397233,0.00137179070132411,0.49849310876659,-0.496021313003388,-1.87861813603782,58,"TMEM97;NOC4L;MCM5;BYSL;DCTPP1;DUSP2;RRP12;MRTO4;PES1;NOP56;PUS1;LAS1L;EXOSC5;SORD;PHB1;SRM;WDR74;NOP16;CDK4;SUPV3L1;TBRG4;FARSA;IPO4;MCM4"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.02436136515175e-15,5.06090341287937e-14,1.00731795687447,-0.5236188819931,-2.41708838901403,199,"NDUFB7;IDH3G;NDUFA7;GPI;UQCRC1;BCKDHA;ECH1;NDUFS7;LDHA;ATP5F1D;ATP5MC1;ATP5MF;POR;NDUFB4;ATP5F1C;ATP6V1F;ALAS1;TIMM13;MRPS11;MRPS15;ATP6V1H;SDHB;GPX4;CYC1;TIMM50;ATP6V0B;ATP5F1B;ATP6V1E1;GOT2;BAX;NDUFV1;NDUFS1;PMPCA;HADHA;UQCR11;NDUFS6;NDUFB5;IDH3B;ATP6V0C;RHOT2;MDH1;COX6A1;NDUFA3;SLC25A4;NQO2;ACADVL;MRPL34;ACO2;ATP5F1A;ATP6AP1;UQCRQ;ABCB7;ATP5PB;ATP6V1C1;PHYH;SUCLA2;NDUFA8;NDUFC1;SLC25A11;TOMM70;COX7B;HTRA2;SUPV3L1;MRPL11;ECI1;MTRF1;PRDX3;ECHS1;VDAC1;IDH3A;COX5B;MRPS30;COX8A;SLC25A5;NDUFA2;TCIRG1;IDH2;NDUFA9;MRPS12;COX5A;ATP5PF;POLR2F;NDUFA4;SLC25A6;ETFB;HSD17B10;TIMM17A;CYCS;PDHB"
