"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_IL2_STAT5_SIGNALING",4.3245239394222e-05,0.000166327843823931,0.557332238758646,0.373655726060024,1.6851049396785,199,"IFITM3;MAFF;HIPK2;MUC1;AHNAK;CD44;BCL2;MAP6;PTCH1;XBP1;CYFIP1;SPP1;ENO3;SERPINB6;EMP1;WLS;CAPN3;KLF6;ITGAV;ABCB1;AHR;CTLA4;TNFRSF1B;IL10RA;IL4R;COL6A1;LRIG1;PLEC;IGF1R;TGM2;TNFRSF4;PRKCH;ITGA6;CD81;RHOB;COCH;IFNGR1;ITIH5;SOCS1;PLPP1;CXCL10;POU2F1;PNP;PRNP;PHTF2;IKZF2;PHLDA1;CD48;IL3RA;HK2;GADD45B;TNFRSF9;PLIN2;RORA;NT5E;DHRS3;MAPKAPK2;IL1R2;NOP2;ALCAM;CDKN1C;GPR83;CCR4;TIAM1;NDRG1;FAH;ITGAE;FLT3LG;FURIN;BCL2L1;P4HA1;MYO1C;CSF1;ODC1;CD86;ARL4A;CCND3;PTH1R;NFKBIZ;PLAGL1;CKAP4;SYNGR2;CAPG"
"HALLMARK_MYOGENESIS",0.000200515873831087,0.000626612105722146,0.518848077743792,0.366684448271618,1.65050133675839,200,"TPM2;DTNA;SCD;IGFBP7;IFRD1;WWTR1;AEBP1;TPD52L1;PLXNB2;ITGB5;MYH7;MRAS;ENO3;SGCD;RB1;ITGB1;SORBS1;NAV2;SPARC;SSPN;ERBB3;MYH11;ITGA7;SLC6A8;GSN;SVIL;LPIN1;COL3A1;CLU;NQO1;TNNT2;TCAP;APLNR;APOD;SIRT2;NOTCH1;ADCY9;ITGB4;DMPK;FLII;PRNP;CDKN1A;BIN1;COL4A2;CFD;APP;EFS;MEF2D;PDE4DIP;AKT2;GADD45B;MYOM1;MYLK;RIT1;PYGM;GNAO1;AK1;TNNT1;FGF2;SORBS3;ABLIM1;MEF2A;EIF4A2;GJA5;LDB3;CACNA1H;SPDEF;CRYAB;NOS1;FOXO4;SPTAN1;MYO1C"
"HALLMARK_APICAL_JUNCTION",0.00112200126497338,0.0031166701804816,0.45505986738723,0.345709681516903,1.55609078640636,200,"VCAN;PECAM1;SDC3;TJP1;MAPK11;COL9A1;MAP3K20;EGFR;SYMPK;TSPAN4;JUP;NRXN2;VWF;ITGB1;COL16A1;TIAL1;PLCG1;RRAS;CLDN5;CLDN15;ACTN4;ITGA10;ALOX15B;VASP;ARHGEF6;AMH;NECTIN2;VCL;CD99;ITGB4;SHC1;CLDN11;NF2;GNAI2;FSCN1;NFASC;ICAM2;TNFRSF11B;THBS3;PKD1;CALB2;STX4;CTNND1;HADH;MSN;FYB1;AKT2;CAP1;PBX2;ACTN1;LDLRAP1;ACTG1;THY1;PARVA;PTPRC;CNTN1;AKT3;CNN2;EVL;ACTB;WNK4;SORBS3;DSC3;JAM3;GNAI1;CTNNA1;CDH11;CDH1;DLG1;ARPC2;VCAM1;EPB41L2"
"HALLMARK_HEDGEHOG_SIGNALING",0.0237036699241848,0.039506116540308,0.352487857583619,0.444860137040798,1.50440917803847,36,"HEY2;PTCH1;CDK6;ADGRG1;LDB1;TLE1;CELSR1;GLI1;L1CAM;PLG;THY1;DPYSL2;PML;VEGFA;RTN1;CDK5R1;TLE3"
"HALLMARK_ANGIOGENESIS",0.0251377195177765,0.0405447088996395,0.352487857583619,0.443623948395988,1.5002286876142,36,"VCAN;MSX1;SPP1;ITGAV;TIMP1;THBD;COL3A1;JAG1;LRPAP1;APP;JAG2;FSTL1"
"HALLMARK_HEME_METABOLISM",0.00569965797851252,0.012953768132983,0.407017918923954,0.32556806245764,1.46543035796854,200,"TOP1;ALDH6A1;MXI1;SLC7A11;OSBP2;TNS1;CAT;LRP10;SMOX;LAMP2;SEC14L1;EPB41;NR3C1;ADD1;KAT2B;NEK7;TFRC;CTSB;SLC6A8;FTCD;TNRC6B;RIOK3;DAAM1;SLC2A1;ABCG2;MFHAS1;HDGF;SIDT2;MAP2K3;E2F2;RAP1GAP;SLC30A1;KLF3;BMP2K;TRAK2;SELENBP1;TCEA1;ANK1;MARK3;XPO7;ALDH1L1;ARHGEF12;TSPAN5;TAL1;GYPA;CTNS;TFDP2;EZH1;C3;RBM38;ALAD;EPB42;SLC66A2;BTG2;LMO2;ALAS2;BCAM;RBM5;TRIM10;PPP2R5B;MARCHF8;HBB;DMTN;PIGQ;PGLS;CROCCP2;P4HA2;UROD;CCND3;RAD23A;ELL2;FOXO3;RNF19A;ASNS;CLCN3;CA2;CAST;HEBP1;NCOA4;BACH1"
"HALLMARK_ADIPOGENESIS",0.00833021541505509,0.0181091639457719,0.380730400722792,0.319833775923132,1.43961947988202,200,"CAVIN2;AGPAT3;BCL6;STOM;GPAM;LIFR;SLC19A1;ANGPTL4;CAT;TOB1;CMBL;CCNG2;OMD;DBT;ABCA1;ADIPOR2;SORBS1;SSPN;RREB1;ITGA7;APOE;TST;PDCD4;RIOK3;PFKFB3;YWHAG;PTCD3;PHLDB1;LEP;SCARB1;HIBCH;SUCLG1;PGM1;ALDH2;IFNGR1;MGLL;ITIH5;UQCR11;MIGA2;VEGFB;HADH;CDKN2C;SLC27A1;UBC;RNF11;SULT1A1;SQOR;MYLK;GPAT4;PLIN2;CD302;C3;SCP2;ALDOA;RETN;ANGPT1;CD151"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0155583605460035,0.0299199241269297,0.380730400722792,0.345482634679281,1.43738171911147,113,"BAG3;KIF5B;PSAT1;EXOSC10;DDIT4;XBP1;EEF2;CEBPB;CXXC1;ATF4;ATF3;SSR1;KHSRP;CCL2;RPS14;NPM1;ALDH18A1;TATDN2;SEC11A;SHC1;SLC7A5;WFS1;CEBPG;SPCS3;GOSR2;DNAJC3;XPOT;ERN1;H2AX;EIF4G1;FKBP14;HSPA5;ARFGAP1;EDC4;PDIA6;VEGFA;EIF4A2;DCP1A;DCP2"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00959678439075829,0.0199933008140798,0.380730400722792,0.318494215018669,1.43358991665972,200,"LCAT;MT2A;AKR1C3;PDK4;GCNT2;CYP1A1;NDRG2;PDLIM5;ID2;CAT;SMOX;TMBIM6;JUP;LEAP2;PTGES;PPARD;PTGDS;TNFRSF1A;ELOVL5;HGFAC;DDAH2;APOE;ABCC2;GSR;PAPSS2;ALDH9A1;NQO1;NINJ1;RAP1GAP;TGFB2;ANGPTL3;IL1R1;ALDH2;F10;ADH5;COMT;DCXR;MARCHF6;CSAD;PLG;LONP1;SLC6A6;HSD17B2;SLC6A12;ALDH3A1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0199683088536977,0.035657694381603,0.352487857583619,0.344419769081514,1.42221076126106,105,"CXCR4;MKNK2;MKNK1;EGFR;ADCY2;TNFRSF1A;RAF1;PLCG1;SLC2A1;ITPR2;MAP2K3;CFL1;PIKFYVE;STAT2;PRKCB;ATF1;CAB39L;MAPKAP1;CDKN1A;YWHAB;PTPN11;MYD88;RIT1;NOD1;GRB2;PRKAA2;SQSTM1;MAP3K7;MAPK1;CDKN1B;TIAM1;RAC1;DUSP3;PIN1"
